payment_id,invoice_id,customer_id,amount,payment_method,payment_date,status,transaction_ref,processor_fee,net_amount
PAY-27664,INV-00194,481,47.38,ach,2024-01-25T18:06:35-05:00,pending,6e1f74b5-9d60-4821-b800-350963f200fc,0.0,47.38
PAY-27665,INV-01011,C302,299.52,wire,2024-01-04T07:18:49-05:00,completed,3304626d-f1ed-4cd3-9a96-ef11365853c2,0.3,299.22
PAY-27666,INV-00571,210,134.53,check,2024-01-30T13:43:57-05:00,completed,fc8f02e6-19ea-4c24-bec0-5cb68d2285d7,0.0,134.53
PAY-27667,INV-00963,C399,126.96,check,2024-01-11T21:54:50-05:00,completed,5e676cd9-085d-4dec-9e0f-2e1969055d6f,0.0,126.96
PAY-27668,INV-00185,145,406.58,ach,2024-01-16T12:22:22-05:00,completed,TXN-EOBIDHAKKX,2.03,404.55
PAY-27669,INV-00914,100,315.73,credit_card,2024-01-27T11:55:44-05:00,failed,6ba92077-b5e7-4209-9960-e52e566af21b,0.0,315.73
PAY-27670,INV-00785,217,127.1,wire,2024-01-02T01:41:18-05:00,completed,2601a91a-1556-4160-aece-abb9dae32496,0.13,126.97
PAY-27671,INV-01070,300,106.49,credit_card,2024-01-31T14:39:32-05:00,pending,TXN-YKTKTFBXQQ,0.0,106.49
PAY-27672,INV-00060,341,42.68,wire,2024-01-09T12:26:26-05:00,completed,TXN-ZEPHDPHLFS,0.04,42.64
PAY-27673,INV-00271,245,131.68,check,2024-01-12T08:35:04-05:00,completed,TXN-CQPWNGAKZR,0.0,131.68
PAY-27674,INV-00683,055,152.25,ach,2024-01-14T21:34:07-05:00,completed,7765e108-f8dc-4c43-b83a-a95f00720ad6,0.76,151.49
PAY-27675,INV-00348,391,417.61,credit_card,2024-01-24T18:15:09-05:00,completed,ba12d90e-bbae-413d-8691-601435c1bba6,12.11,405.5
PAY-27676,INV-00231,433,132.99,check,2024-01-10T20:21:54-05:00,completed,TXN-TGWZEDDAHT,0.0,132.99
PAY-27677,INV-01371,314,938.29,credit_card,2024-01-05T10:53:48-05:00,refunded,c5b0352c-d0ea-49dd-a7cd-aeb1ca0f3de9,0.0,938.29
PAY-27678,INV-00515,151,380.98,credit_card,2024-01-07T21:57:38-05:00,completed,16219320-d811-4ec6-9dbc-c474bd25cba1,11.05,369.93
PAY-27679,INV-00959,328,343.79,check,2024-01-30T08:01:13-05:00,completed,TXN-FOICWSYAKU,0.0,343.79
PAY-27680,INV-00032,441,482.64,ach,2024-01-24T09:00:05-05:00,completed,90b3e89a-8bd2-4cdd-88ae-330fe1075f8d,2.41,480.23
PAY-27681,INV-01323,153,120.45,ach,2024-01-22T19:52:08-05:00,completed,TXN-KTICLOGUHS,0.6,119.85
PAY-27682,INV-00160,058,373.22,ach,2024-01-08T16:48:18-05:00,completed,2c496b04-a8ae-4879-92ec-12fa54528e7b,1.87,371.35
PAY-27683,INV-00808,070,372.28,check,2024-01-14T20:21:30-05:00,completed,TXN-CYGEEYLGVI,0.0,372.28
PAY-27684,INV-00165,300,51.23,credit_card,2024-01-22T12:28:51-05:00,failed,3a872feb-0bef-433f-95f9-0b123a714a27,0.0,51.23
PAY-27685,INV-01149,267,155.39,ach,2024-01-06T12:18:14-05:00,completed,252b50a0-8230-457f-9434-034d7d2d7deb,0.78,154.61
PAY-27686,INV-01212,462,45.85,check,2024-01-11T05:57:59-05:00,completed,a118e3b7-94c4-43b9-a5cf-469133631407,0.0,45.85
PAY-27687,INV-01185,462,137.41,wire,2024-01-18T11:43:47-05:00,completed,da8633b6-f5bc-4b96-b8eb-3d82f3f4432d,0.14,137.27
PAY-27688,INV-01163,394,137.77,check,2024-01-02T19:35:29-05:00,completed,f0053bfd-5dbd-4c9e-b6c5-a8496a173af0,0.0,137.77
PAY-27689,INV-01188,148,42.58,check,2024-01-01T19:21:10-05:00,completed,172c85c7-460f-43e0-ba8f-d787326d14df,0.0,42.58
PAY-27690,INV-01182,246,146.98,check,2024-01-20T07:52:07-05:00,completed,4f56f3e2-7aff-4e70-b428-ab5f158ed7d3,0.0,146.98
PAY-27691,INV-00675,060,133.2,ach,2024-01-08T13:33:26-05:00,completed,1e58f626-8e5e-4b91-a7ae-280b40e9bf7c,0.67,132.53
PAY-27692,INV-00540,496,38.59,wire,2024-01-30T10:56:22-05:00,completed,TXN-EBGCWGCJLL,0.04,38.55
PAY-27693,INV-00935,315,154.53,check,2024-01-11T15:35:29-05:00,pending,a759783e-adbf-4d42-ab0b-879b6bf4b4d3,0.0,154.53
PAY-27694,INV-00094,062,381.96,credit_card,2024-01-08T05:11:49-05:00,completed,fd471270-861a-4b3f-945b-23d3dd17585a,11.08,370.88
PAY-27695,INV-01251,459,933.16,credit_card,2024-01-08T04:11:22-05:00,completed,047a93bd-a1f5-4fc6-b88c-19b1a241e5ee,27.06,906.1
PAY-27696,INV-00746,031,52.45,ach,2024-01-25T00:50:42-05:00,completed,TXN-TROWYTVGOJ,0.26,52.19
PAY-27697,INV-01267,297,359.77,check,2024-01-20T08:20:43-05:00,completed,9fabf275-b242-4a4b-85d2-be1ef3fb8692,0.0,359.77
PAY-27698,INV-01356,040,367.37,check,2024-01-27T04:04:11-05:00,completed,TXN-LCZOUWJYJP,0.0,367.37
PAY-27699,INV-00336,C343,123.68,credit_card,2024-01-21T12:07:21-05:00,completed,TXN-HXBJTMXTRY,3.59,120.09
PAY-27700,INV-01226,158,141.81,credit_card,2024-01-21T22:03:26-05:00,completed,951f2341-0e3c-474a-a5dd-f0bfb7d06f65,4.11,137.7
PAY-27701,INV-00363,100,430.08,wire,2024-01-19T11:14:54-05:00,completed,81d0b4b8-32da-4753-a5e0-7b069751beea,0.43,429.65
PAY-27702,INV-00722,220,84.12,credit_card,2024-01-15T02:54:16-05:00,completed,bebae0f1-b51c-4208-b632-a3f488061d9c,2.44,81.68
PAY-27703,INV-00162,362,47.91,wire,2024-01-20T19:50:59-05:00,pending,TXN-LCDTGIEROD,0.0,47.91
PAY-27704,INV-60063,CUST-276,4230.84,check,2024-01-16T07:16:09-05:00,completed,9fae6244-566d-41ff-b7e6-3a293319cf4f,0.0,4230.84
PAY-27705,INV-01124,189,425.24,ach,2024-01-28T01:12:03-05:00,completed,59e9c367-6a12-49ef-a872-25cd4db856be,2.13,423.11
PAY-27706,INV-01301,139,405.89,check,2024-01-25T23:46:38-05:00,completed,5df829ce-3a5a-4418-bb42-85a51deb0f9b,0.0,405.89
PAY-27707,INV-00058,003,42.94,check,2024-01-24T13:25:00-05:00,completed,TXN-FVOQYXUEKJ,0.0,42.94
PAY-27708,INV-00618,317,351.4,check,2024-01-23T23:26:17-05:00,completed,4a297d5f-0bbd-4679-ac6f-a461754f4f39,0.0,351.4
PAY-27709,INV-00009,333,46.27,check,2024-01-22T15:35:22-05:00,completed,TXN-TGDXJIWVGJ,0.0,46.27
PAY-27710,INV-00116,172,372.43,check,2024-01-02T03:56:53-05:00,completed,bfcc97fe-7e43-4421-83f7-03132be9f72b,0.0,372.43
PAY-27711,INV-00320,090,146.86,check,2024-01-28T22:00:16-05:00,completed,b903d718-57d4-46e1-b876-ba668df25ee8,0.0,146.86
PAY-27712,INV-00388,206,119.76,ach,2024-01-08T15:14:48-05:00,completed,4b36c64c-6501-4cbc-9ee6-f2e05ebdbf6d,0.6,119.16
PAY-27713,INV-00539,343,45.94,ach,2024-01-19T21:46:30-05:00,completed,47441813-5063-477e-842d-dd0dc762ec28,0.23,45.71
PAY-27714,INV-00542,117,138.9,check,2024-01-30T18:39:50-05:00,pending,62be3af7-ac32-47ed-9342-7417f2f2c18d,0.0,138.9
PAY-27715,INV-00299,463,45.5,credit_card,2024-01-30T01:28:07-05:00,completed,TXN-UVLRWAEXOL,1.32,44.18
PAY-27716,INV-00905,C459,39.05,check,2024-01-29T16:04:09-05:00,pending,5b6290fe-4185-4811-a17b-15477d39f379,0.0,39.05
PAY-27717,INV-00790,033,43.52,ach,2024-01-05T14:10:06-05:00,completed,6e0b82db-c96e-4983-9be6-b3c011bb77ef,0.22,43.3
PAY-27718,INV-00565,332,128.48,credit_card,2024-01-13T11:27:40-05:00,completed,TXN-FRYRRKPHFI,3.73,124.75
PAY-27719,INV-01292,062,132.23,credit_card,2024-01-17T04:43:47-05:00,failed,eec267ca-b8a3-4a60-9873-2d485af9e720,0.0,132.23
PAY-27720,INV-01309,414,128.24,ach,2024-01-21T18:20:21-05:00,completed,f8434bee-972b-4101-b83a-d63d722e5d08,0.64,127.6
PAY-27721,INV-00739,166,47.69,ach,2024-01-17T22:55:50-05:00,completed,d66fe020-b002-4309-973e-e0d91bc3ff62,0.24,47.45
PAY-27722,INV-00532,287,98.91,credit_card,2024-01-15T12:31:40-05:00,completed,5b213f2f-b3a4-438e-9e34-9ee9849f1c70,2.87,96.04
PAY-27723,INV-00320,090,144.5,credit_card,2024-01-15T21:37:05-05:00,completed,170dd0c5-418a-4940-a208-db7c3733580e,4.19,140.31
PAY-27724,INV-00210,366,136.24,credit_card,2024-01-01T21:54:07-05:00,completed,eca8f165-2fb9-4074-8695-0afb365f0bc0,3.95,132.29
PAY-27725,INV-01109,204,146.96,wire,2024-01-27T18:12:53-05:00,completed,4a24deaf-a609-43e1-b07a-1ce20b175aad,0.15,146.81
PAY-27726,INV-00322,318,439.15,check,2024-01-19T19:00:16-05:00,completed,f1a63fcf-85bd-43dd-a108-a0b32689bcce,0.0,439.15
PAY-27727,INV-00489,159,41.62,credit_card,2024-01-26T04:12:49-05:00,completed,e2921c88-19fb-4fcd-99e8-b4c22023728a,1.21,40.41
PAY-27728,INV-00663,372,360.78,check,2024-01-21T09:36:39-05:00,refunded,9f2c00c0-9b1d-4a76-b2ab-c2ce72c426d6,0.0,360.78
PAY-27729,INV-00992,304,48.16,ach,2024-01-22T18:06:35-05:00,completed,076d2b01-b56d-4867-801c-7a4e811a203a,0.24,47.92
PAY-27730,INV-41388,CUST-210,1010.63,credit_card,2024-01-03T09:18:03-05:00,completed,4d232217-8f22-4aac-83b8-f746393a7e90,29.31,981.32
PAY-27731,INV-00737,328,367.5,wire,2024-01-22T22:39:20-05:00,pending,ccfa071d-4226-4b19-b813-ccb9a7e0a972,0.0,367.5
PAY-27732,INV-00742,484,46.89,credit_card,2024-01-19T12:22:49-05:00,failed,b4618e95-6b70-4572-aa5a-56938dc8ef67,0.0,46.89
PAY-27733,INV-00138,C057,117.66,check,2024-01-05T19:10:39-05:00,failed,TXN-OIDCRFLLXA,0.0,117.66
PAY-27734,INV-01383,C383,0.78,credit_card,2024-01-17T16:25:20-05:00,failed,701867aa-ecf9-428f-9307-c2fc8ce06d73,0.0,0.78
PAY-27735,INV-00273,446,935.82,credit_card,2024-01-09T05:46:37-05:00,completed,280dd176-db49-4525-a2a5-6d28555232fc,27.14,908.68
PAY-27736,INV-01108,088,406.45,ach,2024-01-10T03:25:08-05:00,refunded,d1adbd25-4713-44d4-b855-1e99b478a6ea,0.0,406.45
PAY-27737,INV-00218,084,385.78,ach,2024-01-22T05:46:43-05:00,failed,TXN-CEIHDQKTQU,0.0,385.78
PAY-27738,INV-01344,062,126.15,wire,2024-01-10T18:41:06-05:00,completed,TXN-GMGVVPJMVH,0.13,126.02
PAY-27739,INV-00949,248,953.32,credit_card,2024-01-24T18:14:08-05:00,completed,ae0da117-38b0-4ccf-b9c1-43dd63d4fb1b,27.65,925.67
PAY-27740,INV-00900,283,136.55,ach,2024-01-22T09:11:53-05:00,completed,fd664911-a61b-4af5-a501-46fc9809b8b0,0.68,135.87
PAY-27741,INV-00631,429,143.36,wire,2024-01-01T19:23:46-05:00,completed,54b1ac4e-0eea-4b04-8c54-aace55591e11,0.14,143.22
PAY-27742,INV-00509,405,374.71,ach,2024-01-28T18:31:37-05:00,completed,fb251e72-2ff2-46f4-b45c-3e1bd97002f4,1.87,372.84
PAY-27743,INV-00044,C486,151.64,credit_card,2024-01-24T17:57:55-05:00,refunded,TXN-UQIOBJFWRQ,0.0,151.64
