customer_id,event_date,metric_name,quantity,unit
CUST-048,2024-02-10,active_users,439.04,users
CUST-452,2024-02-09,workflow_executions,1594.5,executions
CUST-319,2024-02-27,workflow_executions,640.59,executions
CUST-004,2024-02-18,api_requests,21912.32,requests
CUST-224,2024-02-05,storage_used_gb,463.75,GB
CUST-241,2024-02-01,api_requests,46412.47,requests
CUST-475,2024-02-26,workflow_executions,3671.67,executions
CUST-025,2024-02-21,active_users,1442.52,users
CUST-150,2024-02-19,active_users,249.17,users
CUST-277,2024-02-01,workflow_executions,930.4,executions
CUST-212,2024-02-13,api_requests,30533.14,requests
CUST-209,2024-02-25,storage_used_gb,278.82,GB
CUST-434,2024-02-22,storage_used_gb,357.77,GB
CUST-463,2024-02-18,active_users,29.97,users
CUST-055,2024-02-10,api_requests,36639.85,requests
CUST-053,2024-02-18,api_requests,74351.04,requests
CUST-481,2024-02-11,api_requests,53393.86,requests
CUST-401,2024-02-19,storage_used_gb,230.22,GB
CUST-458,2024-02-26,active_users,368.26,users
CUST-422,2024-02-19,api_requests,73434.51,requests
CUST-079,2024-02-22,storage_used_gb,35.23,GB
CUST-394,2024-02-15,active_users,247.57,users
CUST-089,2024-02-10,active_users,1063.84,users
CUST-050,2024-02-05,api_requests,7355.49,requests
CUST-361,2024-02-21,storage_used_gb,233.36,GB
CUST-450,2024-02-07,storage_used_gb,454.66,GB
CUST-159,2024-02-16,workflow_executions,425.67,executions
CUST-218,2024-02-02,workflow_executions,1189.5,executions
CUST-216,2024-02-22,api_requests,4248.28,requests
CUST-366,2024-02-15,storage_used_gb,242.75,GB
CUST-279,2024-02-11,active_users,153.41,users
CUST-257,2024-02-11,workflow_executions,177.78,executions
CUST-374,2024-02-26,workflow_executions,767.21,executions
CUST-415,2024-02-21,storage_used_gb,188.5,GB
CUST-016,2024-02-24,workflow_executions,6890.61,executions
CUST-428,2024-02-15,active_users,437.19,users
CUST-296,2024-02-26,api_requests,55224.19,requests
CUST-255,2024-02-04,active_users,30.4,users
CUST-288,2024-02-12,api_requests,92463.6,requests
CUST-316,2024-02-01,api_requests,1274.02,requests
CUST-268,2024-02-21,active_users,476.21,users
CUST-349,2024-02-07,workflow_executions,2131.39,executions
CUST-247,2024-02-28,storage_used_gb,144.19,GB
CUST-284,2024-02-03,api_requests,16443.46,requests
CUST-458,2024-02-29,workflow_executions,1841.0,executions
CUST-165,2024-02-29,workflow_executions,356.99,executions
CUST-072,2024-02-21,workflow_executions,3981.7,executions
CUST-476,2024-02-13,storage_used_gb,944.15,GB
CUST-144,2024-02-14,workflow_executions,2257.65,executions
CUST-315,2024-02-06,workflow_executions,192.81,executions
CUST-405,2024-02-20,api_requests,44975.43,requests
CUST-194,2024-02-04,api_requests,16320.04,requests
CUST-023,2024-02-23,workflow_executions,992.94,executions
CUST-102,2024-02-26,storage_used_gb,463.26,GB
CUST-077,2024-02-29,workflow_executions,960.59,executions
CUST-230,2024-02-04,workflow_executions,957.19,executions
CUST-445,2024-02-13,storage_used_gb,830.28,GB
CUST-127,2024-02-22,workflow_executions,1692.12,executions
CUST-460,2024-02-21,api_requests,6247.32,requests
CUST-441,2024-02-28,active_users,53.41,users
CUST-222,2024-02-21,workflow_executions,2675.28,executions
CUST-344,2024-02-06,workflow_executions,7571.64,executions
CUST-294,2024-02-19,api_requests,36430.78,requests
CUST-089,2024-02-28,workflow_executions,5533.77,executions
CUST-374,2024-02-29,storage_used_gb,262.08,GB
CUST-391,2024-02-25,workflow_executions,1457.33,executions
CUST-192,2024-02-16,storage_used_gb,60.89,GB
CUST-025,2024-02-08,api_requests,110095.14,requests
CUST-459,2024-02-07,storage_used_gb,106.59,GB
CUST-359,2024-02-05,workflow_executions,3416.2,executions
CUST-225,2024-02-09,api_requests,30091.26,requests
CUST-482,2024-02-27,storage_used_gb,87.85,GB
CUST-397,2024-02-20,storage_used_gb,1.82,GB
CUST-043,2024-02-09,api_requests,17310.17,requests
CUST-493,2024-02-18,api_requests,56983.83,requests
CUST-119,2024-02-21,storage_used_gb,141.69,GB
CUST-316,2024-02-01,active_users,448.04,users
CUST-478,2024-02-09,workflow_executions,989.77,executions
CUST-231,2024-02-03,storage_used_gb,33.6,GB
CUST-067,2024-02-20,storage_used_gb,458.55,GB
CUST-074,2024-02-29,storage_used_gb,2.17,GB
CUST-202,2024-02-03,workflow_executions,506.55,executions
CUST-252,2024-02-06,storage_used_gb,455.64,GB
CUST-363,2024-02-29,workflow_executions,3921.06,executions
CUST-280,2024-02-16,workflow_executions,403.56,executions
CUST-148,2024-02-17,active_users,180.76,users
CUST-225,2024-02-06,api_requests,116806.74,requests
CUST-461,2024-02-29,api_requests,24482.52,requests
CUST-112,2024-02-10,workflow_executions,319.11,executions
CUST-123,2024-02-01,api_requests,2689.28,requests
CUST-155,2024-02-19,active_users,115.51,users
CUST-209,2024-02-27,active_users,74.43,users
CUST-280,2024-02-07,active_users,403.15,users
CUST-167,2024-02-21,active_users,243.11,users
CUST-392,2024-02-09,storage_used_gb,385.73,GB
CUST-287,2024-02-28,active_users,294.57,users
CUST-217,2024-02-17,active_users,433.5,users
CUST-467,2024-02-15,active_users,147.42,users
CUST-235,2024-02-23,api_requests,11806.64,requests
CUST-174,2024-02-01,active_users,1130.12,users
CUST-247,2024-02-13,storage_used_gb,37.46,GB
