adjustment_id,customer_id,invoice_id,adjustment_type,amount,reason,effective_date,created_at,approved_by,status,reverses_adjustment_id
ADJ-0001,081,INV-00726,credit,-1294.53,Agent every development say.,03/22/2024,03/23/2024,,pending,
ADJ-0002,044,INV-00590,correction,3511.63,Beautiful instead ahead despite measure ago current.,03/24/2024,03/24/2024,,pending,
ADJ-0003,026,INV-01185,correction,806.28,Everything thank serve civil institution everyone democratic shake.,03/13/2024,03/14/2024,Kimberly Robinson,approved,
ADJ-0004,209,INV-00375,correction,3480.74,Page southern role movie win her.,03/15/2024,03/16/2024,James Howard,approved,
ADJ-0005,119,INV-01300,reversal,-3314.35,Fall pick those gun court attorney product.,03/04/2024,03/04/2024,,rejected,
ADJ-0006,CUST-406,INV-65948,write_off,3011.31,Herself law street class.,03/06/2024,03/07/2024,Victoria Wyatt,approved,
ADJ-0007,476,INV-00707,refund,-3308.23,Participant commercial rock clear.,03/14/2024,03/15/2024,Michael Miles,approved,
ADJ-0008,CUST-411,INV-58532,write_off,1591.38,Establish understand read detail food shoulder.,03/23/2024,03/24/2024,,pending,
ADJ-0009,235,INV-01143,reversal,-1177.62,Environment decision wall then fire pretty.,03/21/2024,03/21/2024,Rodney Trujillo,approved,
ADJ-0010,CUST-394,INV-47300,correction,3308.13,Cause seat much section investment.,03/30/2024,03/30/2024,Thomas Ellis,approved,
ADJ-0011,438,INV-00842,reversal,-3823.98,Reversal of ADJ-0040. Meeting before another body.,03/22/2024,03/23/2024,Heidi Osborn,approved,ADJ-0040
ADJ-0012,250,INV-00937,correction,3931.31,Civil quite others his other life edge network.,03/16/2024,03/17/2024,,pending,
ADJ-0013,004,INV-00641,correction,2370.94,Quite boy those.,03/28/2024,03/28/2024,,pending,
ADJ-0014,339,INV-00737,reversal,-1853.17,Itself law west then enjoy.,03/24/2024,03/24/2024,Patricia Peterson,approved,
ADJ-0015,463,INV-00269,credit,-1138.29,Fear police participant check several much single morning.,03/18/2024,03/19/2024,Cassandra Gaines,approved,
ADJ-0016,090,INV-01370,refund,-2825.84,These story film around there water.,03/17/2024,03/18/2024,Fred Smith,approved,
ADJ-0017,383,INV-00304,reversal,-2822.92,She campaign little near enter their institution.,03/12/2024,03/12/2024,John Jones,approved,
ADJ-0018,CUST-257,INV-55159,write_off,1435.46,Require human public health tonight.,03/04/2024,03/04/2024,Joshua Blair,approved,
ADJ-0019,399,INV-00232,refund,-4449.22,Open discover detail.,03/15/2024,03/15/2024,David Brown,approved,
ADJ-0020,CUST-240,INV-63743,correction,4112.97,Teacher audience draw.,03/16/2024,03/16/2024,Mark Perez,approved,
ADJ-0021,CUST-029,INV-48664,credit,-2857.12,Office drug list imagine behind probably great.,03/27/2024,03/28/2024,Cindy Anderson,approved,
ADJ-0022,370,INV-00200,reversal,-2460.59,Reversal of ADJ-0129. Art rock song body.,03/18/2024,03/18/2024,Scott Brown,approved,ADJ-0129
ADJ-0023,095,INV-00758,refund,-495.92,Everything economic type kitchen.,03/28/2024,03/28/2024,Joshua Taylor,approved,
ADJ-0024,384,INV-00426,correction,693.13,Structure why unit support coach magazine degree.,03/26/2024,03/26/2024,Krista Williams,approved,
ADJ-0025,064,INV-00785,correction,1354.38,Enter six lawyer institution whatever yet.,03/15/2024,03/15/2024,Anthony Gray,approved,
ADJ-0026,CUST-433,INV-00023,correction,3093.65,Design around save article finish.,03/30/2024,03/31/2024,Michelle Moore,approved,
ADJ-0027,417,INV-00265,reversal,-4764.63,Church whether bag control organization push dog.,03/23/2024,03/24/2024,John Calhoun,approved,
ADJ-0028,300,INV-00744,credit,-1319.68,Always bank price north first end prove fire.,03/02/2024,03/02/2024,Steve Sanchez,approved,
ADJ-0029,463,INV-00209,refund,-3794.82,First sell authority leader your you available.,03/25/2024,03/25/2024,Carlos Brewer,approved,
ADJ-0030,234,INV-00433,reversal,-3050.84,Reversal of ADJ-0081. Media car give attention each.,03/24/2024,03/25/2024,,pending,ADJ-0081
