invoice_id,customer_id,subscription_id,invoice_date,due_date,amount,currency,status,line_items_count,tax_amount,total_amount,period_start,period_end,created_at
INV-00001,234,SUB-0054,2024-03-01,2024-03-31,53.41,USD,paid,7,0.96,54.37,2024-03-01,2024-03-31,2024-03-01
INV-00002,108,SUB-0142,2024-03-01,2024-03-31,141.54,USD,paid,7,5.08,146.62,2024-03-01,2024-03-31,2024-03-01
INV-00003,150,SUB-0353,2024-03-01,2024-03-31,45.02,USD,paid,2,3.58,48.6,2024-03-01,2024-03-31,2024-03-01
INV-00004,329,SUB-0730,2024-03-01,2024-03-31,1093.56,USD,paid,6,31.57,1125.13,2024-03-01,2024-03-31,2024-03-01
INV-00005,339,SUB-0416,2024-03-01,2024-03-31,392.14,USD,pending,6,36.75,428.89,2024-03-01,2024-03-31,2024-03-01
INV-00006,399,SUB-0484,2024-03-01,2024-03-31,140.39,USD,paid,2,4.33,144.72,2024-03-01,2024-03-31,2024-03-01
INV-00007,141,SUB-0152,2024-03-01,2024-03-31,53.18,USD,overdue,4,3.4,56.58,2024-03-01,2024-03-31,2024-03-01
INV-00008,302,SUB-0494,2024-03-01,2024-03-31,0.0,USD,void,1,0.0,0.0,2024-03-01,2024-03-31,2024-03-01
INV-00009,083,SUB-0041,2024-03-01,2024-03-31,380.12,USD,paid,7,33.17,413.29,2024-03-01,2024-03-31,2024-03-01
INV-00010,495,SUB-0265,2024-03-01,2024-03-31,52.13,USD,paid,2,4.57,56.7,2024-03-01,2024-03-31,2024-03-01
INV-00011,060,SUB-0778,2024-03-01,2024-03-31,134.28,USD,paid,6,0.18,134.46,2024-03-01,2024-03-31,2024-03-01
INV-00012,415,SUB-0553,2024-03-01,2024-03-31,47.75,USD,paid,7,1.89,49.64,2024-03-01,2024-03-31,2024-03-01
INV-00013,423,SUB-0361,2024-03-01,2024-03-31,433.87,USD,paid,4,0.43,434.3,2024-03-01,2024-03-31,2024-03-01
INV-00014,364,SUB-0318,2024-03-01,2024-03-31,45.5,USD,paid,4,1.63,47.13,2024-03-01,2024-03-31,2024-03-01
INV-00015,283,SUB-0126,2024-03-01,2024-03-31,158.02,USD,pending,5,0.95,158.97,2024-03-01,2024-03-31,2024-03-01
INV-00016,241,SUB-0644,2024-03-01,2024-03-31,134.46,USD,pending,2,5.91,140.37,2024-03-01,2024-03-31,2024-03-01
INV-00017,262,SUB-0578,2024-03-01,2024-03-31,153.38,USD,pending,4,2.24,155.62,2024-03-01,2024-03-31,2024-03-01
INV-00018,268,SUB-0648,2024-03-01,2024-03-31,421.97,USD,pending,4,34.69,456.66,2024-03-01,2024-03-31,2024-03-01
INV-00019,070,SUB-0721,2024-03-01,2024-03-31,136.46,USD,paid,3,1.85,138.31,2024-03-01,2024-03-31,2024-03-01
INV-00020,083,SUB-0041,2024-03-01,2024-03-31,380.12,USD,paid,3,36.12,416.24,2024-03-01,2024-03-31,2024-03-01
INV-00021,148,SUB-0796,2024-03-01,2024-03-31,44.82,USD,paid,3,3.12,47.94,2024-03-01,2024-03-31,2024-03-01
INV-00022,447,SUB-0048,2024-03-01,2024-03-31,148.47,USD,paid,1,8.13,156.6,2024-03-01,2024-03-31,2024-03-01
INV-00023,421,SUB-0459,2024-03-01,2024-03-31,140.36,USD,paid,1,10.36,150.72,2024-03-01,2024-03-31,2024-03-01
INV-00024,278,SUB-0456,2024-03-01,2024-03-31,142.34,USD,paid,5,13.3,155.64,2024-03-01,2024-03-31,2024-03-01
INV-00025,083,SUB-0532,2024-03-01,2024-03-31,158.53,USD,paid,5,0.2,158.73,2024-03-01,2024-03-31,2024-03-01
INV-00026,217,SUB-0633,2024-03-01,2024-03-31,154.54,USD,paid,3,4.99,159.53,2024-03-01,2024-03-31,2024-03-01
INV-00027,461,SUB-0733,2024-03-01,2024-03-31,0.0,USD,paid,2,0.0,0.0,2024-03-01,2024-03-31,2024-03-01
INV-00028,320,SUB-0616,2024-03-01,2024-03-31,50.12,USD,overdue,7,1.3,51.42,2024-03-01,2024-03-31,2024-03-01
INV-00029,064,SUB-0157,2024-03-01,2024-03-31,44.97,USD,overdue,1,3.86,48.83,2024-03-01,2024-03-31,2024-03-01
INV-00030,441,SUB-0517,2024-03-01,2024-03-31,0.0,USD,paid,2,0.0,0.0,2024-03-01,2024-03-31,2024-03-01
INV-00031,120,SUB-0593,2024-03-01,2024-03-31,438.62,USD,paid,4,13.27,451.89,2024-03-01,2024-03-31,2024-03-01
INV-00032,409,SUB-0514,2024-03-01,2024-03-31,1045.42,USD,paid,5,9.75,1055.17,2024-03-01,2024-03-31,2024-03-01
INV-00033,394,SUB-0249,2024-03-01,2024-03-31,155.22,USD,paid,5,4.42,159.64,2024-03-01,2024-03-31,2024-03-01
INV-00034,496,SUB-0347,2024-03-01,2024-03-31,44.8,USD,paid,2,0.64,45.44,2024-03-01,2024-03-31,2024-03-01
INV-00035,133,SUB-0206,2024-03-01,2024-03-31,429.92,USD,pending,3,35.01,464.93,2024-03-01,2024-03-31,2024-03-01
INV-00036,084,SUB-0187,2024-03-01,2024-03-31,52.85,USD,paid,7,0.23,53.08,2024-03-01,2024-03-31,2024-03-01
INV-00037,330,SUB-0316,2024-03-01,2024-03-31,47.35,USD,paid,5,0.02,47.37,2024-03-01,2024-03-31,2024-03-01
INV-00038,316,SUB-0192,2024-03-01,2024-03-31,144.69,USD,paid,5,1.85,146.54,2024-03-01,2024-03-31,2024-03-01
INV-00039,391,SUB-0766,2024-03-01,2024-03-31,432.21,USD,paid,4,15.56,447.77,2024-03-01,2024-03-31,2024-03-01
INV-00040,079,SUB-0750,2024-03-01,2024-03-31,428.9,USD,paid,5,12.75,441.65,2024-03-01,2024-03-31,2024-03-01
INV-00041,197,SUB-0552,2024-03-01,2024-03-31,48.42,USD,paid,1,2.19,50.61,2024-03-01,2024-03-31,2024-03-01
INV-00042,133,SUB-0206,2024-03-01,2024-03-31,429.92,USD,paid,6,38.39,468.31,2024-03-01,2024-03-31,2024-03-01
INV-00043,158,SUB-0799,2024-03-01,2024-03-31,50.53,USD,paid,2,0.37,50.9,2024-03-01,2024-03-31,2024-03-01
INV-00044,480,SUB-0515,2024-03-01,2024-03-31,955.7,USD,paid,4,16.61,972.31,2024-03-01,2024-03-31,2024-03-01
INV-00045,016,SUB-0138,2024-03-01,2024-03-31,52.23,USD,paid,6,4.02,56.25,2024-03-01,2024-03-31,2024-03-01
INV-00046,069,SUB-0682,2024-03-01,2024-03-31,958.32,USD,paid,2,85.38,1043.7,2024-03-01,2024-03-31,2024-03-01
INV-00047,219,SUB-0756,2024-03-01,2024-03-31,0.0,USD,paid,3,0.0,0.0,2024-03-01,2024-03-31,2024-03-01
INV-00048,461,SUB-0733,2024-03-01,2024-03-31,0.0,USD,paid,1,0.0,0.0,2024-03-01,2024-03-31,2024-03-01
INV-00049,467,SUB-0491,2024-03-01,2024-03-31,51.84,USD,paid,5,0.7,52.54,2024-03-01,2024-03-31,2024-03-01
INV-00050,231,SUB-0335,2024-03-01,2024-03-31,0.0,USD,paid,4,0.0,0.0,2024-03-01,2024-03-31,2024-03-01
INV-00051,434,SUB-0492,2024-03-01,2024-03-31,1031.38,USD,pending,6,14.0,1045.38,2024-03-01,2024-03-31,2024-03-01
INV-00052,062,SUB-0436,2024-03-01,2024-03-31,138.29,USD,paid,4,9.31,147.6,2024-03-01,2024-03-31,2024-03-01
INV-00053,423,SUB-0723,2024-03-01,2024-03-31,412.73,USD,paid,3,21.42,434.15,2024-03-01,2024-03-31,2024-03-01
INV-00054,084,SUB-0703,2024-03-01,2024-03-31,400.26,USD,paid,2,34.53,434.79,2024-03-01,2024-03-31,2024-03-01
INV-00055,022,SUB-0056,2024-03-01,2024-03-31,49.36,USD,paid,1,4.3,53.66,2024-03-01,2024-03-31,2024-03-01
INV-00056,363,SUB-0676,2024-03-01,2024-03-31,44.24,USD,disputed,6,3.19,47.43,2024-03-01,2024-03-31,2024-03-01
INV-00057,146,SUB-0342,2024-03-01,2024-03-31,47.04,USD,paid,5,0.98,48.02,2024-03-01,2024-03-31,2024-03-01
INV-00058,064,SUB-0157,2024-03-01,2024-03-31,44.97,USD,paid,5,3.51,48.48,2024-03-01,2024-03-31,2024-03-01
INV-00059,125,SUB-0617,2024-03-01,2024-03-31,139.76,USD,pending,4,6.36,146.12,2024-03-01,2024-03-31,2024-03-01
INV-00060,187,SUB-0576,2024-03-01,2024-03-31,137.64,USD,paid,1,10.17,147.81,2024-03-01,2024-03-31,2024-03-01
INV-00061,132,SUB-0209,2024-03-01,2024-03-31,410.0,USD,paid,3,34.43,444.43,2024-03-01,2024-03-31,2024-03-01
INV-00062,209,SUB-0165,2024-03-01,2024-03-31,146.69,USD,pending,7,10.77,157.46,2024-03-01,2024-03-31,2024-03-01
INV-00063,136,SUB-0779,2024-03-01,2024-03-31,44.9,USD,pending,4,2.79,47.69,2024-03-01,2024-03-31,2024-03-01
INV-00064,061,SUB-0784,2024-03-01,2024-03-31,47.2,USD,paid,7,3.13,50.33,2024-03-01,2024-03-31,2024-03-01
INV-00065,453,SUB-0067,2024-03-01,2024-03-31,159.74,USD,paid,7,9.6,169.34,2024-03-01,2024-03-31,2024-03-01
