event_id,customer_id,feature,action,timestamp,session_id,user_agent
EVT-000001,CUST-355,reporting,error,2024-03-22T12:48:11Z,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.0)
EVT-000002,CUST-028,dashboard,used,2024-03-24T07:38:49Z,8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/54.0.889.0 Safari/535.1"
EVT-000003,CUST-217,automation_rules,disabled,2024-03-13T22:32:47Z,1a2a73ed-562b-4f79-8374-59eef50bea63,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/47.0.815.0 Safari/534.0"
EVT-000004,CUST-246,user_management,enabled,2024-03-04T13:29:59Z,a2bc372f-7412-4293-8729-4739614ff3d7,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/4.0)
EVT-000005,CUST-380,bulk_import,configured,2024-03-19T10:58:43Z,efc89849-b3aa-4efe-8458-a885ab9099a4,"Mozilla/5.0 (Linux; Android 6.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/30.0.808.0 Safari/535.2"
EVT-000006,CUST-136,bulk_import,configured,2024-03-28T01:06:12Z,a491f0b2-ea1f-4a65-a27a-984d654821d0,Opera/9.84.(Windows NT 4.0; dv-MV) Presto/2.9.183 Version/12.00
EVT-000007,CUST-047,api_gateway,viewed,2024-03-07T14:53:27Z,663f1c97-9562-49f0-a5d7-b8756dadd6c7,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/5.1)
EVT-000008,CUST-134,audit_log,used,2024-03-16T14:02:20Z,dc713d96-0c0f-4195-817a-f08a1745d6d8,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/13.0.887.0 Safari/532.2"
EVT-000009,CUST-334,custom_fields,viewed,2024-03-28T11:36:20Z,deda4e16-1b3d-4d5c-a9a1-fa6f81f76d1c,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/3.0)
EVT-000010,CUST-014,api_gateway,used,2024-03-05T02:40:12Z,8a14be62-295b-4715-8333-e8615fb8d16c,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.39.3 (KHTML, like Gecko) Version/4.0 Safari/531.39.3"
